Date,Open,High,Low,Close,AdjClose
2009-12-09,109.5800,110.1800,109.0200,110.0200,81.6685
2009-12-10,110.7000,111.1200,110.4500,110.6400,82.1288
2009-12-11,111.1100,111.3600,110.6100,111.1100,82.4776
2009-12-14,111.8700,112.0000,111.1300,111.8700,83.0418
2009-12-15,111.4600,111.9200,111.0000,111.3500,82.6558
2009-12-16,111.8000,112.1300,111.2700,111.5200,82.7820
2009-12-17,110.7200,110.9300,110.0800,110.1800,81.7873
2009-12-18,110.2000,110.3000,109.2800,110.2100,82.2500
2009-12-21,110.7600,111.7000,110.7600,111.3300,83.0859
2009-12-22,111.5700,111.9700,111.4300,111.7300,83.3844
2009-12-23,112.0000,112.1100,111.5000,111.9500,83.5486
2009-12-24,112.1900,112.6000,112.0000,112.4800,83.9442
2009-12-28,112.9000,112.9900,112.3200,112.7200,84.1232
2009-12-29,113.0100,113.0300,112.5500,112.5600,84.0038
2009-12-30,112.2300,112.6500,112.1700,112.5200,83.9740
2009-12-31,112.7700,112.8000,111.3900,111.4400,83.1680
2010-01-04,112.3700,113.3900,111.5100,113.3300,84.5785
2010-01-05,113.2600,113.6800,112.8500,113.6300,84.8024
2010-01-06,113.5200,113.9900,113.4300,113.7100,84.8620
2010-01-07,113.5000,114.3300,113.1800,114.1900,85.2203
2010-01-08,113.8900,114.6200,113.6600,114.5700,85.5039
2010-01-11,115.0800,115.1300,114.2400,114.7300,85.6233
2010-01-12,113.9700,114.2100,113.2200,113.6600,84.8248
2010-01-13,113.9500,114.9400,113.3700,114.6200,85.5412
2010-01-14,114.4900,115.1400,114.4200,114.9300,85.7725
2010-01-15,114.7300,114.8400,113.2000,113.6400,84.8098
2010-01-19,113.6200,115.1300,113.5900,115.0600,85.8696
2010-01-20,114.2800,114.4500,112.9800,113.8900,84.9964
2010-01-21,113.9200,114.2700,111.5600,111.7000,83.3620
2010-01-22,111.2000,111.7400,109.0900,109.2100,81.5037
2010-01-25,110.2100,110.4100,109.4100,109.7700,81.9216
2010-01-26,109.3400,110.4700,109.0400,109.3100,81.5783
2010-01-27,109.1700,110.0800,108.3300,109.8300,81.9664
2010-01-28,110.1900,110.2500,107.9100,108.5700,81.0261
2010-01-29,109.0400,109.8000,107.2200,107.3900,80.1455
2010-02-01,108.1500,109.0700,107.5000,109.0600,81.3917
2010-02-02,109.2600,110.5900,108.8800,110.3800,82.3769
2010-02-03,109.8800,110.4800,109.5100,109.8300,81.9664
2010-02-04,108.9800,109.0300,106.4200,106.4400,79.4365
2010-02-05,106.5600,106.8800,104.5800,106.6600,79.6007
2010-02-08,106.7400,107.3300,105.8100,105.8900,79.0260
2010-02-09,107.1300,108.1500,106.2700,107.2200,80.0186
2010-02-10,107.0500,107.6000,106.1100,107.0100,79.8619
2010-02-11,106.8700,108.2500,106.2500,108.1300,80.6977
2010-02-12,106.9900,108.1000,106.5100,108.0400,80.6306
2010-02-16,108.8600,109.8500,107.8200,109.7400,81.8992
2010-02-17,110.2700,110.4100,109.7400,110.2600,82.2873
2010-02-18,110.0800,111.1400,110.0400,110.9100,82.7724
2010-02-19,110.6200,111.5700,110.3600,111.1400,82.9441
2010-02-22,111.5500,111.5800,110.8300,111.1600,82.9590
2010-02-23,110.8600,111.2000,109.5200,109.8100,81.9515
2010-02-24,110.1400,111.0000,109.8600,110.8200,82.7053
2010-02-25,109.2400,110.7500,108.9400,110.6700,82.5933
2010-02-26,110.7700,111.1200,110.1100,110.7400,82.6456
2010-03-01,111.2000,112.0000,111.1700,111.8900,83.5038
2010-03-02,112.3700,112.7400,112.0000,112.2000,83.7351
